,^GSPC,NVDA,AAPL,MSFT,JPM,V,BAC,WMT,COST,PG
^GSPC,1.0,0.6402,0.6993,0.6888,0.6063,0.6116,0.5916,0.3675,0.5013,0.1752
NVDA,0.6402,1.0,0.3872,0.5533,0.2721,0.2456,0.1982,0.0739,0.2702,-0.1414
AAPL,0.6993,0.3872,1.0,0.5038,0.3121,0.4267,0.3217,0.2762,0.3706,0.1599
MSFT,0.6888,0.5533,0.5038,1.0,0.2688,0.346,0.2291,0.2188,0.3543,0.0509
JPM,0.6063,0.2721,0.3121,0.2688,1.0,0.4833,0.7474,0.2524,0.2546,0.0871
V,0.6116,0.2456,0.4267,0.346,0.4833,1.0,0.4223,0.3354,0.4108,0.2998
BAC,0.5916,0.1982,0.3217,0.2291,0.7474,0.4223,1.0,0.2449,0.2368,0.1011
WMT,0.3675,0.0739,0.2762,0.2188,0.2524,0.3354,0.2449,1.0,0.5442,0.3243
COST,0.5013,0.2702,0.3706,0.3543,0.2546,0.4108,0.2368,0.5442,1.0,0.2915
PG,0.1752,-0.1414,0.1599,0.0509,0.0871,0.2998,0.1011,0.3243,0.2915,1.0
