Ticker,Mean_Return_%,Std_Dev_%,Skewness,Kurtosis,Min_Return_%,Max_Return_%
^GSPC,0.0785,0.9606,0.5365,15.1254,-5.975,9.5154
NVDA,0.3758,3.1987,0.7708,7.6393,-16.9682,24.3696
AAPL,0.1053,1.6439,0.75,12.3116,-9.2456,15.3289
MSFT,0.1037,1.4758,0.472,4.8578,-6.1809,10.1337
JPM,0.1369,1.4382,0.1443,9.8606,-7.4838,11.5445
V,0.0693,1.1564,-0.3859,6.9686,-7.7374,7.8373
BAC,0.0887,1.6067,-0.3107,5.7653,-11.0633,8.4288
WMT,0.1238,1.2544,0.412,10.5376,-8.0928,9.5488
COST,0.0962,1.2581,-0.2574,5.1497,-7.6414,7.2592
PG,0.0117,1.0176,-0.4103,2.7825,-5.0119,4.1391
